date,item,sales
2013-01-01,32498,10
2013-01-02,32498,11
2013-01-03,32498,8
2013-01-04,32498,19
2013-01-05,32498,12
2013-01-06,32498,16
2013-01-07,32498,7
2013-01-08,32498,9
2013-01-09,32498,11
2013-01-10,32498,16
2013-01-11,32498,19
2013-01-12,32498,9
2013-01-13,32498,8
2013-01-14,32498,5
2013-01-15,32498,14
2013-01-16,32498,7
2013-01-17,32498,11
2013-01-18,32498,7
2013-01-19,32498,9
2013-01-20,32498,20
2013-01-21,32498,15
2013-01-22,32498,11
2013-01-23,32498,7
2013-01-24,32498,8
2013-01-25,32498,12
2013-01-26,32498,5
2013-01-27,32498,13
2013-01-28,32498,7
2013-01-29,32498,13
2013-01-30,32498,8
2013-01-31,32498,19
2013-02-01,32498,21
2013-02-02,32498,10
2013-02-03,32498,6
2013-02-04,32498,11
2013-02-05,32498,17
2013-02-06,32498,9
2013-02-07,32498,15
2013-02-08,32498,
2013-02-09,32498,12
2013-02-10,32498,13
2013-02-11,32498,
2013-02-12,32498,13
2013-02-13,32498,13
2013-02-14,32498,9
2013-02-15,32498,15
2013-02-16,32498,13
2013-02-17,32498,
2013-02-18,32498,9
2013-02-19,32498,8
2013-02-20,32498,14
2013-02-21,32498,9
2013-02-22,32498,9
2013-02-23,32498,13
2013-02-24,32498,9
2013-02-25,32498,8
2013-02-26,32498,16
2013-02-27,32498,17
2013-02-28,32498,14
2013-03-01,32498,9
2013-03-02,32498,25
2013-03-03,32498,19
2013-03-04,32498,10
2013-03-05,32498,20
2013-03-06,32498,13
2013-03-07,32498,14
2013-03-08,32498,18
2013-03-09,32498,20
2013-03-10,32498,14
2013-03-11,32498,8
2013-03-12,32498,14
2013-03-13,32498,12
2013-03-14,32498,14
2013-03-15,32498,15
2013-03-16,32498,11
2013-03-17,32498,15
2013-03-18,32498,109
2013-03-19,32498,13
2013-03-20,32498,14
2013-03-21,32498,15
2013-03-22,32498,12
2013-03-23,32498,15
2013-03-24,32498,22
2013-03-25,32498,16
2013-03-26,32498,11
2013-03-27,32498,14
2013-03-28,32498,17
2013-03-29,32498,11
2013-03-30,32498,23
2013-03-31,32498,23
2013-04-01,32498,
2013-04-02,32498,14
2013-04-03,32498,13
2013-04-04,32498,18
2013-04-05,32498,24
2013-04-06,32498,18
2013-04-07,32498,13
2013-04-08,32498,6
2013-04-09,32498,11
2013-04-10,32498,20
2013-04-11,32498,14
2013-04-12,32498,15
2013-04-13,32498,27
2013-04-14,32498,27
2013-04-15,32498,12
2013-04-16,32498,23
2013-04-17,32498,21
2013-04-18,32498,16
2013-04-19,32498,21
2013-04-20,32498,21
2013-04-21,32498,21
2013-04-22,32498,10
2013-04-23,32498,21
2013-04-24,32498,11
2013-04-25,32498,15
2013-04-26,32498,14
2013-04-27,32498,22
2013-04-28,32498,29
2013-04-29,32498,9
2013-04-30,32498,16
2013-05-01,32498,18
2013-05-02,32498,25
2013-05-03,32498,20
2013-05-04,32498,21
2013-05-05,32498,27
2013-05-06,32498,5
2013-05-07,32498,16
2013-05-08,32498,24
